nu1,nu2,reject_all,reject,avg_p_alue_all,sd_p_value_all,avg_p_value,sd_p_value,avg_kmin,sd_kmin
0,0,83,1,0.059312,0.090780536,0.692568,0.2438131968,3.92,1.3534840937
0,0.2,81,1,0.060096,0.0781018681,0.690264,0.222444398,3.91,1.2479882802
0,0.4,83,0,0.05196,0.0858743738,0.70892,0.222444398,3.87,1.0313764462
0,0.6,88,0,0.047936,0.0820263514,0.715956,0.2467997079,3.74,0.9704731742
0,0.8,82,3,0.055072,0.0660902812,0.6921,0.2370482344,3.87,0.9603766096
0,1,85,1,0.051396,0.0700334464,0.726292,0.2196878068,3.98,0.984526754
0.2,0,78,1,0.062904,0.0621357164,0.710288,0.2315602107,3.95,1.0859525447
0.2,0.2,73,0,0.079656,0.0986156464,0.728628,0.2143228661,3.94,1.1265393509
0.2,0.4,70,1,0.085248,0.096484037,0.677232,0.2642121729,4.06,1.0713910527
0.2,0.6,73,3,0.083412,0.090571616,0.67274,0.2642121729,3.94,1.1791111187
0.2,0.8,73,1,0.082152,0.1089478167,0.733948,0.2101675457,3.84,1.1075498484
0.2,1,70,1,0.079596,0.0934173733,0.717116,0.2160356596,3.99,1.1590225767
0.4,0,66,1,0.104688,0.126137742,0.69336,0.2287460557,4.2,1.2552918289
0.4,0.2,65,1,0.097,0.10482656,0.689352,0.2477665554,4.11,1.4487542541
0.4,0.4,61,0,0.098604,0.1047526533,0.6839,0.2231002592,3.96,1.2546479244
0.4,0.6,69,2,0.083072,0.0901495392,0.69166,0.2349811899,3.91,1.0453842752
0.4,0.8,76,2,0.082916,0.1030970169,0.683264,0.2613962368,4.04,1.0910100963
0.4,1,56,0,0.11566,0.1088175918,0.73848,0.2220192439,4.21,1.2971997813
0.6,0,59,0,0.0964,0.0845275402,0.718652,0.2276138971,4.31,1.3758009605
0.6,0.2,67,0,0.085496,0.0974590408,0.7228,0.2248284033,4.17,1.0829719677
0.6,0.4,63,2,0.10212,0.0964310608,0.684332,0.2619115499,4.14,1.414356405
0.6,0.6,51,1,0.126872,0.1298612454,0.723908,0.2263113711,4.35,1.4310764473
0.6,0.8,70,1,0.090588,0.1201971102,0.723352,0.2261955373,4.2,1.2712834523
0.6,1,71,0,0.079652,0.0827636119,0.718608,0.2243818209,3.96,0.963159783
0.8,0,55,1,0.132616,0.1367112054,0.67318,0.2374331038,4.23,1.543019472
0.8,0.2,60,1,0.115176,0.1181238907,0.696256,0.2450353627,4.55,1.6291225872
0.8,0.4,66,1,0.103616,0.1211819224,0.674848,0.2508072738,4.22,1.2519076353
0.8,0.6,61,3,0.109108,0.1128371864,0.690732,0.2581156709,4.14,1.2473810949
0.8,0.8,60,1,0.118828,0.1299889444,0.688284,0.259926997,4.24,1.4710677768
0.8,1,61,1,0.122788,0.1417782073,0.680952,0.245283564,4.27,1.7282851897
1,0,65,0,0.100868,0.1063831847,0.69188,0.2255270281,4.16,1.1609818206
1,0.2,62,0,0.120676,0.1190448138,0.710132,0.2151781225,4.58,1.7007425592
1,0.4,54,1,0.132564,0.1245994775,0.684792,0.2178175604,4.49,1.6111668399
1,0.6,60,0,0.116448,0.1267031179,0.703456,0.2386480204,4.35,1.3055824197
1,0.8,54,0,0.123024,0.1250626906,0.677492,0.2346330613,4.39,1.3476129289
1,1,57,0,0.120464,0.1284544297,0.68068,0.2524371869,4.19,1.2528351686
